"UNIQUE_ID","DSGN_CYCLE","COMID","SITE_ID"
"NRS_CA-10869","2008-09","22226990","FW08CA168"
"NRS_CA-10871","2008-09","2769334","FW08CA170"
"NRS_CA-10881","2008-09","8271877","FW08CA199"
"NRS_CA-10885","2008-09","8285292","FW08CA207"
"NRS_CA-10890","2008-09","8064197","FW08CA222"
"NRS_CO-10018","2008-09","228553","FW08CO014"
"NRS_CO-10041","2008-09","2891266","FW08CO004"
"NRS_CO-10042","2008-09","191839","FW08CO010"
"NRS_CO-10059","2008-09","2888730","FW08CO015"
"NRS_CA-10802","2008-09","4439896","FW08CA040"
"NRS_CA-10806","2008-09","948020862","FW08CA044"
"NRS_CA-10808","2008-09","8063401","FW08CA046"
"NRS_CO-10220","2008-09","5312032","FW08CO021"
"NRS_CO-10222","2008-09","3251801","FW08CO023"
"NRS_CO-10224","2008-09","3232663","FW08CO025"
"NRS_CO-10226","2008-09","1321066","FW08CO027"
"NRS_CO-10227","2008-09","934978","FW08CO028"
"NRS_CO-10228","2008-09","17906861","FW08CO029"
"NRS_CO-10230","2008-09","2888850","FW08CO031"
"NRS_CO-10231","2008-09","17435834","FW08CO032"
"NRS_CO-10069","2008-09","1595563","FW08CO020"
"NRS_CO-10075","2008-09","5312628","FW08CO003"
"NRS_CO-10098","2008-09","997576","FW08CO007"
"NRS_CO-10104","2008-09","191819","FW08CO019"
"NRS_CO-10113","2008-09","18278757","FW08CO017"
"NRS_CO-10118","2008-09","3175206","FW08CO006"
"NRS_CO-10133","2008-09","3262587","FW08CO001"
"NRS_CO-10140","2008-09","192089","FW08CO012"
"NRS_CO-10171","2008-09","934818","FW08CO013"
"NRS_CO-10252","2008-09","3111333","FW08CO053"
"NRS_CO-10253","2008-09","190407","FW08CO054"
"NRS_CO-10254","2008-09","1337214","FW08CO055"
"NRS_CO-10232","2008-09","17899337","FW08CO033"
"NRS_CO-10235","2008-09","3561782","FW08CO036"
"NRS_CO-10236","2008-09","3111231","FW08CO037"
"NRS_CO-10237","2008-09","5239022","FW08CO038"
"NRS_CO-10245","2008-09","1236063","FW08CO046"
"NRS_CO-10246","2008-09","229493","FW08CO047"
"NRS_CO-10248","2008-09","17900359","FW08CO049"
"NRS_CO-10249","2008-09","1344168","FW08CO050"
"NRS_CO-10293","2008-09","1425804","FW08CO125"
"NRS_CO-10294","2008-09","949511","FW08CO129"
"NRS_CO-10297","2008-09","21105213","FW08CO136"
"NRS_CO-10299","2008-09","1230615","FW08CO138"
"NRS_CO-10258","2008-09","2899453","FW08CO059"
"NRS_CO-10259","2008-09","934802","FW08CO060"
"NRS_CO-10261","2008-09","1236983","FW08CO062"
"NRS_CO-10265","2008-09","3109483","FW08CO066"
"NRS_CO-10271","2008-09","938954","FW08CO072"
"NRS_CO-10272","2008-09","17876523","FW08CO073"
"NRS_CO-10273","2008-09","11699220","FW08CO076"
"NRS_CO-10277","2008-09","18383843","FW08CO083"
"NRS_CO-10279","2008-09","5312442","FW08CO085"
"NRS_CO-10280","2008-09","188341","FW08CO086"
"NRS_CO-10281","2008-09","17880868","FW08CO087"
"NRS_CO-10303","2008-09","1238033","FW08CO143"
"NRS_CO-10312","2008-09","15998840","FW08CO171"
"NRS_CT-10059","2008-09","6162915","FW08CT002"
"NRS_CT-10063","2008-09","6177838","FW08CT003"
"NRS_CT-10064","2008-09","7717144","FW08CT004"
"NRS_CT-10065","2008-09","6109539","FW08CT005"
"NRS_CT-10066","2008-09","6148797","FW08CT006"
"NRS_CT-10067","2008-09","7701224","FW08CT007"
"NRS_CT-10068","2008-09","7717204","FW08CT008"
"NRS_CT-10069","2008-09","7700796","FW08CT009"
"NRS_CT-10072","2008-09","7701062","FW08CT012"
"NRS_CT-10075","2008-09","7712822","FW08CT015"
"NRS_CO-10289","2008-09","9772755","FW08CO103"
"NRS_CO-10292","2008-09","2898065","FW08CO123"
"NRS_CT-10076","2008-09","6109553","FW08CT016"
"NRS_CT-10077","2008-09","6163215","FW08CT017"
"NRS_CT-10078","2008-09","6109185","FW08CT018"
"NRS_CT-10080","2008-09","7714150","FW08CT020"
"NRS_CT-10081","2008-09","7700910","FW08CT021"
"NRS_CT-10082","2008-09","6148989","FW08CT022"
"NRS_CT-10083","2008-09","7702702","FW08CT023"
"NRS_CT-10084","2008-09","6140908","FW08CT024"
"NRS_CT-10085","2008-09","7701054","FW08CT025"
"NRS_CT-10087","2008-09","6177900","FW08CT027"
"NRS_CT-10090","2008-09","7713500","FW08CT030"
"NRS_CT-10091","2008-09","6112345","FW08CT032"
"NRS_DE-10005","2008-09","4653422","FW08DE001"
"NRS_DE-10006","2008-09","8391876","FW08DE002"
"NRS_DE-10009","2008-09","4652178","FW08DE005"
"NRS_DE-10012","2008-09","8391198","FW08DE008"
"NRS_DE-10013","2008-09","4655356","FW08DE009"
"NRS_DE-10014","2008-09","8392686","FW08DE010"
"NRS_FL-10028","2008-09","10853441","FW08FL002"
"NRS_FL-10031","2008-09","10365852","FW08FL005"
"NRS_FL-10032","2008-09","2298768","FW08FL006"
"NRS_FL-10033","2008-09","21491788","FW08FL007"
"NRS_DE-10015","2008-09","8410491","FW08DE011"
"NRS_DE-10016","2008-09","4765030","FW08DE012"
"NRS_DE-10017","2008-09","4651294","FW08DE013"
"NRS_DE-10018","2008-09","8392388","FW08DE014"
"NRS_DE-10019","2008-09","8077662","FW08DE015"
"NRS_DE-10025","2008-09","4651360","FW08DE021"
"NRS_DE-10028","2008-09","4651112","FW08DE025"
"NRS_DE-10031","2008-09","8074570","FW08DE028"
"NRS_DE-10032","2008-09","8391422","FW08DE030"
"NRS_DE-10036","2008-09","8391738","FW08DE034"
"NRS_FL-10035","2008-09","1999936","FW08FL009"
"NRS_FL-10036","2008-09","2232707","FW08FL010"
"NRS_FL-10039","2008-09","896637","FW08FL013"
"NRS_FL-10041","2008-09","16949788","FW08FL015"
"NRS_FL-10042","2008-09","448560","FW08FL016"
"NRS_FL-10043","2008-09","2242133","FW08FL017"
