locationID,latitude,longitude,waterBody,projectCode
4318,35.77146238,-105.00735,NA,NRSA
4319,36.78331081,-108.1187441,NA,NRSA
4578,35.95104591,-103.6973874,NA,NRSA
4579,36.22155067,-103.850683,NA,NRSA
4580,36.58843762,-103.314843,NA,NRSA
4582,36.17931198,-105.8292194,NA,NRSA
4583,32.7498344,-105.9116856,NA,NRSA
4584,36.93108889,-105.7356703,NA,NRSA
4586,35.32355617,-103.9810699,NA,NRSA
4524,38.59037209,-88.74802624,NA,NRSA
4525,40.6577934,-90.23153226,NA,NRSA
4526,37.51602934,-89.38047036,NA,NRSA
3934,37.82360405,-97.46278768,NA,NRSA
3940,39.89780307,-98.15767917,NA,NRSA
3941,39.49522605,-97.2319021,NA,NRSA
4523,37.50634045,-88.53683713,NA,NRSA
3950,39.28796786,-97.41126277,NA,NRSA
3952,37.85231964,-97.94179319,NA,NRSA
3953,39.55416589,-99.74415093,NA,NRSA
4903,41.65278617,-106.3134826,NA,NRSA
4906,42.10979814,-104.6280471,NA,NRSA
4908,44.73307352,-106.1027321,NA,NRSA
4909,41.01544067,-108.8274098,NA,NRSA
4910,41.59625207,-109.1487612,NA,NRSA
4913,44.62541989,-105.3017111,NA,NRSA
4915,43.34956512,-104.2956885,NA,NRSA
4916,41.38215014,-107.2276043,NA,NRSA
4917,43.29503619,-104.834503,NA,NRSA
4918,44.69584102,-106.338258,NA,NRSA
4919,43.96560817,-106.1714277,NA,NRSA
4921,44.38685019,-104.6773141,NA,NRSA
4925,44.80190718,-106.1480005,NA,NRSA
4922,42.11493928,-104.9851884,NA,NRSA
4924,43.53070043,-104.1010111,NA,NRSA
4926,41.03269786,-105.6756102,NA,NRSA
4928,42.13291291,-106.0714873,NA,NRSA
4931,43.51662703,-104.8413716,NA,NRSA
4932,43.49247586,-106.6606342,NA,NRSA
4744,41.27422296,-112.1538854,NA,NRSA
4745,37.55193806,-113.4090686,NA,NRSA
4747,38.18237181,-111.1541118,NA,NRSA
4748,38.33325837,-112.185427,NA,NRSA
4749,40.89493585,-110.423116,NA,NRSA
4750,37.31864862,-113.7168672,NA,NRSA
4751,39.3616375,-111.043714,NA,NRSA
4752,41.79782893,-113.7101606,NA,NRSA
4753,37.95368314,-112.0634114,NA,NRSA
4754,40.66222979,-111.1798649,NA,NRSA
4758,37.74306236,-112.0985939,NA,NRSA
4759,39.3065305,-110.4051738,NA,NRSA
4761,41.62460181,-111.7298982,NA,NRSA
4764,40.864464,-110.539351,NA,NRSA
4770,38.37090635,-110.7567233,NA,NRSA
4771,38.18736155,-112.0946686,NA,NRSA
4768,37.07694059,-113.5970254,NA,NRSA
4773,41.79317634,-113.8369888,NA,NRSA
4776,37.85231882,-111.4473474,NA,NRSA
4779,41.48977821,-111.2582292,NA,NRSA
4781,39.99030314,-111.0283603,NA,NRSA
4404,41.45313237,-81.82335108,NA,NRSA
4789,37.63333906,-78.90302594,NA,NRSA
4783,37.88508397,-79.15866411,NA,NRSA
4787,37.46347082,-80.34804838,NA,NRSA
4788,37.15926553,-82.16605093,NA,NRSA
4790,37.70786314,-77.98928727,NA,NRSA
4794,37.31028014,-80.68118278,NA,NRSA
